codgeo;libgeo;an;pop65p
01344;Saint-Denis-lès-Bourg;2022;1489
01345;Saint-Denis-en-Bugey;2022;466
01346;Saint-Didier-d'Aussiat;2022;156
01347;Saint-Didier-de-Formans;2022;392
01348;Saint-Didier-sur-Chalaronne;2022;632
01349;Saint-Éloi;2022;115
01350;Saint-Étienne-du-Bois;2022;596
01351;Saint-Étienne-sur-Chalaronne;2022;254
01352;Saint-Étienne-sur-Reyssouze;2022;119
01353;Sainte-Euphémie;2022;255
01354;Saint-Genis-Pouilly;2022;1330
01355;Saint-Genis-sur-Menthon;2022;102
01356;Saint-Georges-sur-Renon;2022;40
01357;Saint-Germain-de-Joux;2022;80
01358;Saint-Germain-les-Paroisses;2022;113
01359;Saint-Germain-sur-Renon;2022;49
01360;Saint-Jean-de-Gonville;2022;243
01361;Saint-Jean-de-Niost;2022;293
01362;Saint-Jean-de-Thurigneux;2022;128
01363;Saint-Jean-le-Vieux;2022;332
01364;Saint-Jean-sur-Reyssouze;2022;194
01365;Saint-Jean-sur-Veyle;2022;254
01366;Sainte-Julie;2022;130
01367;Saint-Julien-sur-Reyssouze;2022;164
01368;Saint-Julien-sur-Veyle;2022;162
01369;Saint-Just;2022;243
01370;Saint-Laurent-sur-Saône;2022;399
01371;Saint-Marcel;2022;155
01372;Saint-Martin-de-Bavel;2022;86
01373;Saint-Martin-du-Frêne;2022;199
01374;Saint-Martin-du-Mont;2022;379
01375;Saint-Martin-le-Châtel;2022;142
01376;Saint-Maurice-de-Beynost;2022;750
01378;Saint-Maurice-de-Gourdans;2022;457
01379;Saint-Maurice-de-Rémens;2022;119
01380;Saint-Nizier-le-Bouchoux;2022;160
01381;Saint-Nizier-le-Désert;2022;145
01382;Sainte-Olive;2022;54
01383;Saint-Paul-de-Varax;2022;274
01384;Saint-Rambert-en-Bugey;2022;462
01385;Saint-Rémy;2022;226
01386;Saint-Sorlin-en-Bugey;2022;216
01387;Saint-Sulpice;2022;30
01388;Saint-Trivier-de-Courtes;2022;363
01389;Saint-Trivier-sur-Moignans;2022;405
01390;Saint-Vulbas;2022;199
01391;Salavre;2022;97
01392;Samognat;2022;107
01393;Sandrans;2022;88
01396;Sault-Brénaz;2022;204
01397;Sauverny;2022;188
01398;Savigneux;2022;200
01399;Ségny;2022;293
01400;Seillonnaz;2022;29
01401;Sergy;2022;324
01402;Sermoyer;2022;151
01403;Serrières-de-Briord;2022;283
01404;Serrières-sur-Ain;2022;43
01405;Servas;2022;181
01406;Servignat;2022;43
01407;Seyssel;2022;188
01408;Simandre-sur-Suran;2022;138
01410;Sonthonnax-la-Montagne;2022;52
01411;Souclin;2022;56
01412;Sulignat;2022;92
01415;Talissieu;2022;172
01416;Tenay;2022;254
01418;Thil;2022;183
01419;Thoiry;2022;825
01420;Thoissey;2022;488
01421;Torcieu;2022;138
01422;Tossiat;2022;302
01423;Toussieux;2022;126
01424;Tramoyes;2022;287
01425;La Tranclière;2022;65
01426;Val-Revermont;2022;491
01427;Trévoux;2022;1076
01428;Valeins;2022;20
01429;Vandeins;2022;131
01430;Varambon;2022;107
01431;Vaux-en-Bugey;2022;239
01432;Verjon;2022;64
01433;Vernoux;2022;35
01434;Versailleux;2022;66
01435;Versonnex;2022;284
01436;Vesancy;2022;85
01437;Vescours;2022;44
01439;Vésines;2022;25
01441;Vieu-d'Izenave;2022;134
