,nofinesset,rs,coordx,coordy
121,010005866,PHARMACIE BARBI-LOUIS,"894,516","6,538,510.5"
122,010003283,PHARMACIE DU NORD,"871,699.3","6,571,086.4"
123,010003606,PHARMACIE CENTRALE,"941,403","6,588,787.2"
124,010003200,PHARMACIE BRESSANE,"872,203.9","6,568,113.2"
125,010003382,PHARMACIE DECLERCQ,"908,279.6","6,540,208"
126,010005254,PHARMACIE DE LA MADELEINE,"844,327.9","6,579,559.9"
127,010005486,PHARMACIE DU LION,"932,876","6,575,865.7"
128,010006245,IFSI-IFAS DU BUGEY,"901,290.1","6,545,997.9"
129,010002350,PHARMACIE GUSTIN,"881,535","6,542,158.6"
130,010006963,ADMR SECTEUR BRESSE-REVERMONT,"876,516.9","6,579,044.2"
131,010002756,PHARMACIE RICHOUX,"908,776.3","6,521,310"
132,010004521,PHARMACIE GEISS-BRIGAUD,"898,590.9","6,566,735.2"
133,010005635,PHARMACIE REYMONDON,"870,502.8","6,526,987.9"
134,010003705,PHARMACIE REVOL,"939,495.8","6,577,713.7"
135,010004372,PHARMACIE RAVIER - LLEO,"851,662","6,526,842.9"
136,010006385,CATTP CHATEAU GAILLARD,"879,356.6","6,544,501.3"
137,010006401,SSIAD EHPAD FONTELUNE,"882,005.8","6,543,701.9"
138,010005817,PHARMACIE DE L'AVENT,"890,562.4","6,525,876.9"
139,010007821,EFS AURA - BOURG-EN-BRESSE,"871,098.5","6,569,397.6"
140,010007870,CMPPA,"870,898.8","6,569,911"
141,010007862,CATTP ENFANTS LES 4 SAISONS,"871,640.2","6,570,009.6"
142,010007177,PROXIMITE ADMR AIN,"871,896.7","6,570,494"
143,010780203,HOPITAL PRIVE D'AMBERIEU,"882,723.9","6,542,587.8"
144,010007144,ADMR SECTEUR VILLIEU,"872,207.6","6,537,988"
145,010006781,ADMR SECTEUR VALROMEY,"907,660.5","6,537,469.8"
146,010783058,MAISON DEP. DE L'ENFANCE BOURG,"872,362.2","6,569,391.5"
147,010007904,HDJ ADULTES,"859,651.4","6,529,821.1"
148,010780922,EHPAD RESIDENCE L'ALBIZIA À CERDON,"890,466.1","6,556,818.7"
149,010784429,EHPAD DU CHAVS SITE PONT DE VEYLE,"845,526","6,575,473.2"
150,050003359,AGDUC UNITE DE DIALYSE MED BRIANCON,"986,732.4","6,429,598.6"
151,010784312,EHPAD EMILE PELICAND,"871,086.5","6,569,497.7"
152,010785269,PORTAGE DE REPAS A DOMICILE,"836,137.1","6,544,078.2"
153,010785715,MECS SEILLON PERONNAS,"871,651.5","6,567,204.5"
154,010785483,SERV.AIDE MENAGERE ADAPA BOURG,"871,555","6,570,073.1"
155,010786911,CRP ORSAC MANGINI,"870,551.6","6,569,176.7"
156,010788503,SAAD CRF BOURG-EN-BRESSE,"871,743","6,571,746.7"
157,010788172,CHRS ADSEA 01,"871,769.4","6,567,439.4"
158,010789030,EHPAD UTRILLO SAINT-BERNARD,"834,711.2","6,540,377.9"
159,010788669,EHPAD RÉSIDENCE CLAIRES FONTAINES,"878,043","6,528,892.3"
160,010788990,FOYER HEBERG LES SOURDIERES,"872,997.3","6,584,650.9"
161,010788891,SSIAD ARTEMARE,"908,927.9","6,534,018"
162,010789642,CMP PSYCHIATRIQUE CHATILLON,"850,840.5","6,560,049"
163,020013918,MAS APEI SAINT-QUENTIN,"718,072.7","6,969,687.4"
164,020003588,CES ANPS LAON,"745,082.5","6,941,179.5"
165,010006708,SERVICE D'ACTIVITÉS DE JOUR,"869,993","6,536,183.9"
166,010006179,CADA AIN SITE AMBERIEU,"880,899.5","6,542,822.9"
167,040004228,EHPAD LE VERDON,"934,007","6,299,735.4"
168,040004095,SAMSAH DES FONTAINES,"935,546","6,330,805.3"
169,020000386,CLINIQUE DE LA ROSERAIE,"723,044.7","6,919,590.5"
170,020002341,ESAT AEI CHAUNY,"716,391.5","6,946,427.9"
171,020001772,UAD SANTÉLYS CHAUNY,"716,031.8","6,946,590.5"
172,020003844,SESSAD AEI TERGNIER,"720,493.9","6,951,459.5"
173,020001855,FAM EPHESE VERVINS,"764,857.3","6,970,606.9"
174,020002317,SELARL PHARMACIE DES AULNES,"743,890.4","6,946,060.1"
175,020002614,PHARMACIE CAMBRELIN - GUYOT,"732,654.5","6,987,559.2"
176,020002457,PHARMACIE MARLIERE,"723,964.5","6,918,901.7"
177,020002762,PHARMACIE GAILLARD P & F,"728,727","6,921,293"
