BOR,AN,420,FI_EJ,LIT_MED,JLI_MED,SEJHC_MED,SEJ0_MED,JOU_MED,LIT_CHI,JLI_CHI,SEJHC_CHI,SEJ0_CHI,JOU_CHI,LIT_OBS,JLI_OBS,SEJHC_OBS,SEJ0_OBS,JOU_OBS,LIT_MCO,JLI_MCO,SEJHC_MCO,SEJ0_MCO,JOU_MCO,PLA_MED,SEJHP_MED,PLAN_MED,SEJN_MED,SEA_MED,PLA_CHI,SEJHP_CHI,PLA_OBS,SEJHP_OBS,PLAN_OBS,SEJN_OBS,PLA_MCO,SEJHP_MCO,PLAN_MCO,SEJN_MCO,SEA_MCO,PCAR,PDER,PEND,PGAS,PNEU,PPED,PPNE,PRHU,POPH,DEND,DNEU,DPED,DOPH,ACTCLI_PM,ACTCLI_SAG,ACTTEC_PM,ACTTEC_DEN,ACTTEC_SAG,ACTTEC_PNM
MCO,2018,370000861,370000481,413,150450,17296,928,123218,68,25770,4915,394,22198,89,32389,6135,493,26655,570,208609,28346,1815,172071,31,4316,3,426,58158,12,6454,22,1537,,,68,12307,3,426,58158,0,0,1,0,1,0,1,0,1,,,,,148224,13019,121778,2,15292,42135
MCO,2018,370000879,370000564,71,21535,4484,1096,18871,25,8404,1078,11,5228,1,365,62,60,2,97,30304,5624,1167,24101,2,274,,,5,5,1385,0,0,,,7,1659,,,5,1,0,0,1,1,0,1,1,1,,96,,48,12388,1524,22114,,962,2042
MCO,2018,370000903,370000614,35,12775,2117,286,13278,25,9125,846,0,4028,,,0,0,0,60,21900,2963,286,17306,4,1178,,,640,6,315,,0,,,10,1493,,,640,1,1,1,1,0,0,1,1,1,,,,,12213,1651,17085,0,93,2349
MCO,2018,370001109,370002701,10,3650,222,0,3011,,,0,0,0,,,0,0,0,10,3650,222,0,3011,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,370001158,370004327,14,5110,378,44,2880,,,0,0,0,,,0,0,0,14,5110,378,44,2880,,0,,,0,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,
MCO,2018,370004467,370000481,255,91648,24403,3683,82025,200,72285,10256,981,61993,,,0,0,0,455,163933,34659,4664,144018,24,2922,,,5409,14,4102,,0,,,38,7024,,,5409,1,1,1,1,0,0,0,1,0,,,,,101442,,107510,1100,7,29921
MCO,2018,370007569,370007528,147,53655,8620,2676,41853,129,47085,8478,722,26430,55,20075,2814,139,12295,331,120815,19912,3537,80578,0,0,,,10117,68,20285,0,0,,,68,20285,,,10117,,,,,,,,,,,,,,,,,,,
MCO,2018,370013286,370013278,,,0,0,0,1,365,103,3,248,,,0,0,0,1,365,103,3,248,,0,,,0,1,204,,0,,,1,204,,,0,,,,,,,,,,,,,,,,,,,
MCO,2018,380000018,380780023,30,10950,1160,5,8374,,,0,0,0,,,0,0,0,30,10950,1160,5,8374,0,0,,,46,0,0,0,0,,,0,0,,,46,0,0,0,0,0,0,0,1,0,,,,,2131,,1019,,,
MCO,2018,380000026,380780031,35,12775,1187,207,10429,0,0,0,0,0,0,0,0,0,0,35,12775,1187,207,10429,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,108,1,0,0,1,0,0,1,1,1,,,,,4522,1186,11278,0,1331,79
MCO,2018,380000034,380780049,254,87785,13833,1076,79582,57,20579,2871,1,16234,31,11315,1891,116,7018,342,119679,18595,1193,102834,16,878,,,4892,9,2674,1,252,,,26,3804,,,4892,1,0,1,1,1,1,1,0,1,,,,,47786,4555,46273,,3116,16414
MCO,2018,380000042,380780056,72,25294,3220,625,23421,0,0,0,0,0,0,0,0,0,0,72,25294,3220,625,23421,5,341,0,0,8,0,0,0,0,0,0,5,341,0,0,8,1,0,1,1,0,1,1,1,0,,,,,4087,112,6992,,119,905
MCO,2018,380000059,380780072,32,11680,923,9,10305,0,0,0,0,0,0,0,0,0,0,32,11680,923,9,10305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,40,1315,0,0,0,0,0
MCO,2018,380000067,380780080,769,277083,38417,3973,247727,326,116127,15886,85,93623,73,26645,4505,129,20315,1168,419855,58808,4187,361665,129,15593,8,1446,50602,35,9562,13,3098,,,185,28253,8,1446,50602,1,1,1,1,1,1,1,0,1,120,100,90,40,255762,9980,145222,289,5700,84869
MCO,2018,380000091,380780171,28,10220,910,0,9333,0,0,0,0,0,0,0,0,0,0,28,10220,910,0,9333,2,66,0,0,305,0,0,0,2,0,0,2,68,0,0,305,1,0,1,1,1,0,1,0,1,210,150,,270,21335,,13609,,,
